game_id,team_id,player_id,player_name,team_name,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100312,1610612744,1627814,Damion Lee,Golden State Warriors,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100312,1610612742,1628973,Jalen Brunson,Dallas Mavericks,66.67,50.0,71.43,4,6,5,2,6,2,6,12,7
g0042100312,1610612744,203952,Andrew Wiggins,Golden State Warriors,50.0,22.22,60.0,3,2,3,3,7,2,6,9,5
g0042100312,1610612742,1627827,Dorian Finney-Smith,Dallas Mavericks,25.0,0,50.0,1,0,3,3,0,3,4,0,6
g0042100312,1610612742,1628467,Maxi Kleber,Dallas Mavericks,0,0,20.0,0,0,1,0,0,4,0,0,5
g0042100312,1610612744,1626172,Kevon Looney,Golden State Warriors,100.0,71.43,0,1,10,0,0,4,0,1,14,0
g0042100312,1610612744,202691,Klay Thompson,Golden State Warriors,100.0,83.33,25.0,2,5,1,0,1,3,2,6,4
g0042100312,1610612744,1630541,Moses Moody,Golden State Warriors,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100312,1610612744,201939,Stephen Curry,Golden State Warriors,100.0,45.45,60.0,4,5,6,0,6,4,4,11,10
g0042100312,1610612742,1628373,Frank Ntilikina,Dallas Mavericks,0,0.0,0.0,0,0,0,0,1,2,0,1,2
g0042100312,1610612744,203490,Otto Porter Jr.,Golden State Warriors,66.67,100.0,100.0,2,3,1,1,0,0,3,3,1
g0042100312,1610612742,202722,Davis Bertans,Dallas Mavericks,100.0,100.0,50.0,1,1,1,0,0,1,1,1,2
g0042100312,1610612742,1629029,Luka Doncic,Dallas Mavericks,86.67,53.85,50.0,13,7,5,2,6,5,15,13,10
g0042100312,1610612742,203493,Reggie Bullock,Dallas Mavericks,100.0,0.0,60.0,3,0,6,0,1,4,3,1,10
g0042100312,1610612744,203110,Draymond Green,Golden State Warriors,50.0,25.0,50.0,1,1,1,1,3,1,2,4,2
g0042100312,1610612742,1630182,Josh Green,Dallas Mavericks,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100312,1610612744,1629673,Jordan Poole,Golden State Warriors,100.0,83.33,50.0,7,5,2,0,1,2,7,6,4
g0042100313,1610612742,203915,Spencer Dinwiddie,Dallas Mavericks,100.0,100.0,40.0,8,3,4,0,0,6,8,3,10
g0042100313,1610612742,203939,Dwight Powell,Dallas Mavericks,50.0,100.0,0,1,1,0,1,0,0,2,1,0
g0042100313,1610612742,1628973,Jalen Brunson,Dallas Mavericks,75.0,66.67,50.0,3,4,3,1,2,3,4,6,6
g0042100313,1610612744,203952,Andrew Wiggins,Golden State Warriors,80.0,66.67,20.0,4,10,1,1,5,4,5,15,5
g0042100313,1610612742,1627827,Dorian Finney-Smith,Dallas Mavericks,50.0,50.0,40.0,1,1,2,1,1,3,2,2,5
g0042100313,1610612742,1628467,Maxi Kleber,Dallas Mavericks,0,0,0.0,0,0,0,0,0,5,0,0,5
g0042100313,1610612744,1626172,Kevon Looney,Golden State Warriors,75.0,75.0,0,3,3,0,1,1,0,4,4,0
g0042100313,1610612744,202691,Klay Thompson,Golden State Warriors,100.0,37.5,30.0,4,3,3,0,5,7,4,8,10
g0042100313,1610612744,1630541,Moses Moody,Golden State Warriors,50.0,0,0.0,1,0,0,1,0,3,2,0,3
g0042100313,1610612744,201939,Stephen Curry,Golden State Warriors,100.0,50.0,50.0,6,5,5,0,5,5,6,10,10
g0042100313,1610612742,1628373,Frank Ntilikina,Dallas Mavericks,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100313,1610612744,203490,Otto Porter Jr.,Golden State Warriors,0,50.0,0,0,1,0,0,1,0,0,2,0
g0042100313,1610612742,202722,Davis Bertans,Dallas Mavericks,0,100.0,0.0,0,1,0,0,0,2,0,1,2
g0042100313,1610612742,1629029,Luka Doncic,Dallas Mavericks,82.35,50.0,44.44,14,7,4,3,7,5,17,14,9
g0042100313,1610612744,203110,Draymond Green,Golden State Warriors,0,50.0,0,0,5,0,0,5,0,0,10,0
